date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Friday, Jun 15*boxscore*PHI*None*CHC*W-wo*6*5*10*30-29*3* 6.0*Akerfelds*Nunez*None*3:02*N*None*+*None
Friday, Jun 15*boxscore*PHI*None*CHC*W*7*0*None*31-29*3* 6.0*Ruffin*Bielecki*None*2:11*N*26,098*++*1990-06-14 (Rain)
Saturday, Jun 16*boxscore*PHI*None*CHC*W*2*1*None*32-29*3* 6.0*Akerfelds*Maddux*None*2:37*N*32,023*+++*None
Sunday, Jun 17*boxscore*PHI*None*CHC*L*3*5*None*32-30*3* 6.0*Pico*Parrett*Lancaster*2:42*N*30,338*-*None
Tuesday, Jun 19*boxscore*PHI*None*PIT*W-wo*2*1*10*33-30*3* 5.0*Carman*Landrum*None*3:30*N*29,781*+*None
Wednesday, Jun 20*boxscore*PHI*None*PIT*W*7*2*None*34-30*3* 4.0*Ruffin*Patterson*None*2:46*D*40,256*++*None
Friday, Jun 22*boxscore*PHI*@*NYM*L*1*5*None*34-31*4* 4.0*Viola*Howell*None*2:40*N*43,587*-*None
Saturday, Jun 23*boxscore*PHI*@*NYM*L*0*3*None*34-32*4* 4.5*Gooden*Combs*None*2:41*N*45,661*--*None
Sunday, Jun 24*boxscore*PHI*@*NYM*L-wo*5*6*None*34-33*4* 5.0*Innis*McDowell*None*3:25*D*47,836*---*None
Monday, Jun 25*boxscore*PHI*@*PIT*L*0*5*None*34-34*4* 6.0*Reed*de Jesus*None*2:25*N*29,369*----*None
Tuesday, Jun 26*boxscore*PHI*@*PIT*L*0*1*None*34-35*4* 7.0*Ruskin*Ruffin*Belinda*2:09*N*25,807*-----*None
Wednesday, Jun 27*boxscore*PHI*@*PIT*L*3*5*None*34-36*4* 8.0*Kipper*Howell*Landrum*2:38*N*40,207*------*None
Friday, Jun 29*boxscore*PHI*None*HOU*W*2*0*None*35-36*4* 6.5*Combs*Gullickson*None*2:21*N*26,339*+*None
Saturday, Jun 30*boxscore*PHI*None*HOU*L*3*8*None*35-37*4* 7.5*Scott*Freeman*Agosto*2:42*N*27,111*-*None
Sunday, Jul 1*boxscore*PHI*None*HOU*W*8*4*None*36-37*4* 7.5*McDowell*Andersen*None*2:48*N*27,014*+*None
Monday, Jul 2*boxscore*PHI*None*HOU*W*5*1*None*37-37*4* 7.5*Ruffin*Deshaies*Akerfelds*2:32*N*32,349*++*None
Tuesday, Jul 3*boxscore*PHI*None*ATL*W*5*1*None*38-37*4* 7.5*Parrett*Clary*Cook*2:34*N*55,147*+++*None
Wednesday, Jul 4*boxscore*PHI*None*ATL*L*1*4*None*38-38*4* 7.5*Glavine*Combs*Boever*3:10*N*18,286*-*None
Thursday, Jul 5*boxscore*PHI*None*CIN*L*2*9*None*38-39*4* 8.5*Armstrong*Howell*None*2:30*N*19,961*--*None
Friday, Jul 6*boxscore*PHI*None*CIN*L*1*4*None*38-40*4* 9.5*Jackson*de Jesus*Myers*2:54*N*28,501*---*None
Saturday, Jul 7*boxscore*PHI*None*CIN*L*0*5*None*38-41*4* 9.5*Mahler*Ruffin*None*2:26*N*29,515*----*None
Sunday, Jul 8*boxscore*PHI*None*CIN*W*4*3*None*39-41*4* 9.5*Akerfelds*Charlton*None*2:22*D*31,602*+*None
Thursday, Jul 12*boxscore*PHI*@*HOU*L*4*7*None*39-42*4* 10.5*Gullickson*Ruffin*Smith*3:12*N*16,983*-*None
Friday, Jul 13*boxscore*PHI*@*HOU*W*4*2*None*40-42*4* 10.5*de Jesus*Scott*Akerfelds*2:35*N*15,248*+*None
Saturday, Jul 14*boxscore*PHI*@*HOU*W*12*8*None*41-42*4* 10.5*Combs*Deshaies*None*3:21*N*28,308*++*None
Sunday, Jul 15*boxscore*PHI*@*HOU*L*1*6*None*41-43*4* 10.5*Darwin*Parrett*None*2:40*D*19,616*-*None
Monday, Jul 16*boxscore*PHI*@*ATL*W*7*2*None*42-43*4* 9.5*Mulholland*Clary*None*2:50*N*8,211*+*None
Tuesday, Jul 17*boxscore*PHI*@*ATL*L*10*14*None*42-44*4* 9.5*Glavine*Ruffin*Mercker*3:14*N*8,558*-*None
Wednesday, Jul 18*boxscore*PHI*@*ATL*W*4*3*None*43-44*4* 9.5*Cook*Smoltz*Akerfelds*2:43*N*8,706*+*None
Thursday, Jul 19*boxscore*PHI*@*CIN*W*5*2*None*44-44*4* 9.0*Combs*Armstrong*McDowell*2:43*N*37,163*++*None
Friday, Jul 20*boxscore*PHI*@*CIN*L*1*5*None*44-45*4* 10.0*Charlton*Parrett*Dibble*2:24*N*39,394*-*None
Saturday, Jul 21*boxscore*PHI*@*CIN*L*1*6*None*44-46*4* 10.0*Rijo*Mulholland*Mahler*2:37*N*34,506*--*None
Sunday, Jul 22*boxscore*PHI*@*CIN*W*6*2*None*45-46*4* 10.0*de Jesus*Scudder*None*2:41*D*33,658*+*None
Monday, Jul 23*boxscore*PHI*None*NYM*W*7*4*None*46-46*4* 9.0*Akerfelds*Viola*McDowell*3:09*N*39,260*++*None
Tuesday, Jul 24*boxscore*PHI*None*NYM*L*4*7*None*46-47*4* 10.0*Machado*McDowell*Franco*2:49*N*43,235*-*None
Wednesday, Jul 25*boxscore*PHI*None*NYM*L*9*10*None*46-48*4* 10.0*Fernandez*Parrett*Franco*3:38*N*40,079*--*None
Thursday, Jul 26*boxscore*PHI*@*PIT*W*12*4*None*47-48*4* 9.0*Mulholland*Heaton*None*2:37*N*24,088*+*None
Friday, Jul 27*boxscore*PHI*@*PIT*W*5*3*None*48-48*4* 9.0*Cook*Reed*Boever*3:33*N*29,117*++*None
Saturday, Jul 28*boxscore*PHI*@*PIT*W*4*3*None*49-48*4* 8.0*Parrett*Landrum*Boever*2:49*N*37,022*+++*None
Sunday, Jul 29*boxscore*PHI*@*PIT*L*1*2*None*49-49*4* 9.0*Drabek*Combs*None*2:39*D*33,018*-*None
Tuesday, Jul 31*boxscore*PHI*None*STL*L*2*4*None*49-50*4* 9.0*Tudor*Howell*Smith*2:29*N*25,463*--*None
Wednesday, Aug 1*boxscore*PHI*None*STL*W*11*10*None*50-50*4* 9.0*Mulholland*Hill*McDowell*3:28*N*23,142*+*None
Thursday, Aug 2*boxscore*PHI*None*STL*L*3*4*None*50-51*4* 10.0*Tewksbury*de Jesus*Smith*2:48*N*21,898*-*None
Friday, Aug 3*boxscore*PHI*None*PIT*L*0*11*None*50-52*4* 11.0*Drabek*Ruffin*None*2:39*N*36,057*--*None
Saturday, Aug 4*boxscore*PHI*None*PIT*L*1*3*10*50-53*4* 11.0*Patterson*McDowell*Power*2:43*N*45,305*---*None
Sunday, Aug 5*boxscore*PHI*None*PIT*W*8*6*None*51-53*4* 10.0*Carman*Ruskin*Boever*3:20*D*40,142*+*None
Monday, Aug 6*boxscore*PHI*None*PIT*L*1*10*None*51-54*4* 12.0*Tomlin*Mulholland*None*2:17*N*None*-*None
Monday, Aug 6*boxscore*PHI*None*PIT*L*3*4*10*51-55*4* 12.0*Landrum*McDowell*None*3:33*N*30,827*--*1990-06-18 (Rain)
