date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Thursday, Sep 13*boxscore*CHC*None*PHI*W*6*5*None*68-75*4* 15.5*Assenmacher*McDowell*Lancaster*2:52*D*15,495*+++*None
Friday, Sep 14*boxscore*CHC*@*STL*L*2*4*None*68-76*4* 15.5*Smith*Williams*Perez*2:32*N*34,473*-*None
Saturday, Sep 15*boxscore*CHC*@*STL*W*6*2*None*69-76*4* 14.5*Lancaster*DeLeon*None*2:47*N*42,282*+*None
Sunday, Sep 16*boxscore*CHC*@*STL*W*8*4*None*70-76*4* 13.5*Nunez*Hill*Bielecki*2:38*D*39,402*++*None
Tuesday, Sep 18*boxscore*CHC*None*PIT*W*8*5*None*71-76*4* 12.5*Maddux*Smiley*None*2:21*N*23,168*+++*None
Wednesday, Sep 19*boxscore*CHC*None*PIT*L*7*8*None*71-77*4* 13.5*Drabek*Sutcliffe*Patterson*3:12*D*13,058*-*None
Thursday, Sep 20*boxscore*CHC*None*PIT*L*2*11*None*71-78*4* 14.5*Walk*Kramer*Palacios*2:51*D*14,926*--*None
Friday, Sep 21*boxscore*CHC*None*NYM*W*4*3*None*72-78*4* 14.5*Assenmacher*Cone*None*2:19*D*19,291*+*None
Saturday, Sep 22*boxscore*CHC*None*NYM*L*5*11*None*72-79*4* 14.5*Darling*Nunez*None*3:05*D*31,066*-*None
Sunday, Sep 23*boxscore*CHC*None*NYM*L*3*7*None*72-80*4* 15.5*Gooden*Maddux*None*2:53*D*24,385*--*None
Monday, Sep 24*boxscore*CHC*None*NYM*W*4*3*None*73-80*4* 15.0*Assenmacher*Viola*None*2:54*D*12,489*+*1990-04-08 (Strike)
Tuesday, Sep 25*boxscore*CHC*@*PIT*L*3*5*None*73-81*4* 16.0*Drabek*Wilson*None*2:29*N*21,644*-*None
Wednesday, Sep 26*boxscore*CHC*@*PIT*L*3*4*None*73-82*4* 17.0*Smith*Coffman*None*2:30*N*26,157*--*None
Thursday, Sep 27*boxscore*CHC*@*PIT*L*2*3*None*73-83*5* 18.0*Tomlin*Bielecki*Palacios*2:19*N*25,049*---*None
Friday, Sep 28*boxscore*CHC*@*NYM*L*1*7*None*73-84*5* 19.0*Gooden*Maddux*None*2:44*N*37,586*----*None
Saturday, Sep 29*boxscore*CHC*@*NYM*W*3*2*None*74-84*5* 19.0*Lancaster*Viola*Assenmacher*2:49*D*38,664*+*None
Sunday, Sep 30*boxscore*CHC*@*NYM*W*6*5*None*75-84*5* 19.0*Nunez*Franco*Williams*3:16*D*39,195*++*None
Monday, Oct 1*boxscore*CHC*@*PHI*L*6*7*None*75-85*5* 19.0*de Jesus*Coffman*McDowell*2:32*N*9,041*-*1990-04-03 (Strike)
Tuesday, Oct 2*boxscore*CHC*@*PHI*W*3*1*None*76-85*5* 19.0*Bielecki*Greene*Williams*2:22*N*9,940*+*1990-04-04 (Strike)
Wednesday, Oct 3*boxscore*CHC*@*PHI*W*4*3*None*77-85*4* 18.0*Maddux*McElroy*Assenmacher*2:13*N*11,889*++*1990-04-05 (Strike)
