Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
69,Monday Jun 20,boxscore,CLE,,TBR,W,7,4,,39-30,1,up 1.0,Shaw,Ramirez,Allen,2:26,N,13811,++++,
70,Tuesday Jun 21,boxscore,CLE,,TBR,W,6,0,,40-30,1,up 2.0,Kluber,Snell,,2:36,N,15629,+++++,
71,Wednesday Jun 22,boxscore,CLE,,TBR,W,6,1,,41-30,1,up 3.0,Bauer,Archer,,2:30,N,21216,++++++,
72,Friday Jun 24,boxscore,CLE,@,DET,W,7,5,,42-30,1,up 4.0,Salazar,Zimmermann,,3:01,N,37886,+++++++,
73,Saturday Jun 25,boxscore,CLE,@,DET,W,6,0,,43-30,1,up 5.0,Carrasco,Sanchez,,2:43,D,39028,++++++++,
74,Sunday Jun 26,boxscore,CLE,@,DET,W,9,3,,44-30,1,up 5.0,Tomlin,Verlander,,2:48,D,36502,+++++++++,
75,Monday Jun 27,boxscore,CLE,@,ATL,W,8,3,,45-30,1,up 5.0,Bauer,Jenkins,,3:15,N,15538,++++++++++,
76,Tuesday Jun 28,boxscore,CLE,@,ATL,W,5,3,,46-30,1,up 6.0,Kluber,Vizcaino,Allen,2:40,N,19206,+++++++++++,
77,Wednesday Jun 29,boxscore,CLE,@,ATL,W,3,0,,47-30,1,up 6.0,Salazar,De La Cruz,Allen,2:51,N,16600,++++++++++++,
78,Thursday Jun 30,boxscore,CLE,@,TOR,W,4,1,,48-30,1,up 6.0,Carrasco,Dickey,Allen,2:33,N,41365,+++++++++++++,
79,Friday Jul 1,boxscore,CLE,@,TOR,W,2,1,19,49-30,1,up 7.0,Bauer,Barney,,6:13,D,45825,++++++++++++++,
80,Saturday Jul 2,boxscore,CLE,@,TOR,L,6,9,,49-31,1,up 6.0,Grilli,Otero,Osuna,3:19,D,46197,-,
81,Sunday Jul 3,boxscore,CLE,@,TOR,L,1,17,,49-32,1,up 5.5,Happ,Kluber,,3:10,D,45962,--,
82,Monday Jul 4,boxscore,CLE,,DET,W,5,3,,50-32,1,up 6.5,Manship,Rondon,Allen,3:20,N,34163,+,
83,Tuesday Jul 5,boxscore,CLE,,DET,W,12,1,,51-32,1,up 7.5,Carrasco,Sanchez,,3:05,N,19448,++,
84,Wednesday Jul 6,boxscore,CLE,,DET,L,2,12,,51-33,1,up 6.5,Fulmer,Tomlin,,3:13,D,24098,-,
85,Thursday Jul 7,boxscore,CLE,,NYY,L,4,5,,51-34,1,up 6.5,Nova,Bauer,Chapman,3:00,N,23848,--,
86,Friday Jul 8,boxscore,CLE,,NYY,W,10,2,,52-34,1,up 7.5,Kluber,Green,,2:36,N,34045,+,
87,Saturday Jul 9,boxscore,CLE,,NYY,L,6,7,11,52-35,1,up 6.5,Chapman,Hunter,,4:18,D,32951,-,
88,Sunday Jul 10,boxscore,CLE,,NYY,L,7,11,,52-36,1,up 6.5,Eovaldi,Carrasco,,3:35,D,29089,--,
89,Friday Jul 15,boxscore,CLE,@,MIN,W,5,2,,53-36,1,up 6.5,Carrasco,Santana,Allen,2:54,N,27074,+,
90,Saturday Jul 16,boxscore,CLE,@,MIN,L-wo,4,5,11,53-37,1,up 6.5,May,Colon,,3:50,N,29447,-,
91,Sunday Jul 17,boxscore,CLE,@,MIN,W,6,1,,54-37,1,up 6.5,Tomlin,Gibson,,2:46,D,25692,+,
92,Monday Jul 18,boxscore,CLE,@,KCR,L,3,7,,54-38,1,up 5.5,Hochevar,Shaw,Davis,2:51,N,38042,-,
93,Tuesday Jul 19,boxscore,CLE,@,KCR,W,7,3,,55-38,1,up 6.5,Salazar,Flynn,,2:46,N,31144,+,
94,Wednesday Jul 20,boxscore,CLE,@,KCR,W,11,4,,56-38,1,up 7.5,Carrasco,Kennedy,,3:16,D,33455,++,
95,Friday Jul 22,boxscore,CLE,@,BAL,L,1,5,,56-39,1,up 6.0,Bundy,Bauer,Britton,2:52,N,39358,-,
96,Saturday Jul 23,boxscore,CLE,@,BAL,L,2,5,,56-40,1,up 6.0,Gausman,Tomlin,Britton,2:52,N,31946,--,
97,Sunday Jul 24,boxscore,CLE,@,BAL,L-wo,3,5,,56-41,1,up 6.0,O'Day,Allen,,2:46,D,37821,---,
98,Tuesday Jul 26,boxscore,CLE,,WSN,W-wo,7,6,,57-41,1,up 5.5,Shaw,Papelbon,,3:17,N,23711,+,
99,Wednesday Jul 27,boxscore,CLE,,WSN,L,1,4,,57-42,1,up 4.5,Strasburg,Carrasco,Treinen,3:11,D,26607,-,
100,Friday Jul 29,boxscore,CLE,,OAK,W,5,3,,58-42,1,up 4.5,Anderson,Graveman,Allen,2:59,N,33134,+,
101,Saturday Jul 30,boxscore,CLE,,OAK,W,6,3,,59-42,1,up 4.5,Tomlin,Overton,,2:39,N,32850,++,
102,Sunday Jul 31,boxscore,CLE,,OAK,W,8,0,,60-42,1,up 4.5,Kluber,Gray,,2:43,D,23739,+++,
103,Monday Aug 1,boxscore,CLE,,MIN,L,5,12,,60-43,1,up 4.0,Berrios,Salazar,,3:12,N,15018,-,
104,Tuesday Aug 2,boxscore,CLE,,MIN,L,6,10,,60-44,1,up 3.0,Pressly,Carrasco,,3:33,N,15835,--,
105,Wednesday Aug 3,boxscore,CLE,,MIN,L,5,13,,60-45,1,up 2.0,Duffey,Bauer,,3:23,N,17176,---,
106,Thursday Aug 4,boxscore,CLE,,MIN,W,9,2,,61-45,1,up 3.0,Otero,Santiago,,3:16,D,19193,+,
107,Friday Aug 5,boxscore,CLE,@,NYY,L,7,13,,61-46,1,up 2.0,Pineda,Tomlin,,3:39,N,39252,-,
108,Saturday Aug 6,boxscore,CLE,@,NYY,W,5,2,,62-46,1,up 2.0,Kluber,Sabathia,Miller,2:59,D,37264,+,
109,Sunday Aug 7,boxscore,CLE,@,NYY,L,2,3,,62-47,1,up 2.0,Tanaka,Carrasco,Betances,2:55,D,39720,-,
110,Tuesday Aug 9,boxscore,CLE,@,WSN,W,3,1,,63-47,1,up 3.5,Bauer,Scherzer,Allen,2:55,N,30978,+,
111,Wednesday Aug 10,boxscore,CLE,@,WSN,L,4,7,,63-48,1,up 3.5,Gonzalez,Tomlin,Melancon,2:52,D,30185,-,
112,Thursday Aug 11,boxscore,CLE,,LAA,W,14,4,,64-48,1,up 4.0,Kluber,Chacin,,3:10,N,16652,+,
113,Friday Aug 12,boxscore,CLE,,LAA,W,13,3,,65-48,1,up 5.0,Carrasco,Skaggs,,3:13,N,27014,++,
114,Saturday Aug 13,boxscore,CLE,,LAA,W,5,1,,66-48,1,up 5.0,Clevinger,Shoemaker,,3:04,N,30409,+++,
