date*boxscore*team*home_or_away*opponent*win_or_loss*runs*runs_allowed*innings*win_loss_record*rank*games_behind*win*loss*save*time*day_or_night*attendance*streak*originally_scheduled
Tuesday, Jul 8*boxscore*NYY*None*CHW*L*2*10*None*40-33*2* 1.0*Thurston*Bush*None*1:55*D*10,000*-*None
Tuesday, Jul 8*boxscore*NYY*None*CHW*W*8*5*None*41-33*2* 1.0*Hoyt*Lyons*Pennock*2:05*D*20,000*+*1924-05-11 (Wet grounds)
Wednesday, Jul 9*boxscore*NYY*None*CHW*L*6*8*None*41-34*2* 1.5*Faber*Markle*Connally*2:03*D*8,000*-*None
Thursday, Jul 10*boxscore*NYY*None*CHW*W*6*1*None*42-34*1* Tied*Pennock*Connally*None*1:50*D*10,000*+*None
Thursday, Jul 10*boxscore*NYY*None*CHW*W*18*5*None*43-34*1* Tied*Shawkey*Cvengros*Pipgras*2:07*D*15,000*++*1924-05-12 (Rain)
Friday, Jul 11*boxscore*NYY*None*CHW*W*12*9*None*44-34*1*up 1.0*Gaston*Lyons*None*2:12*D*8,000*+++*None
Saturday, Jul 12*boxscore*NYY*None*SLB*W*4*2*None*45-34*1*up 1.5*Hoyt*Shocker*None*1:40*D*25,000*++++*None
Sunday, Jul 13*boxscore*NYY*None*SLB*W*6*2*None*46-34*1*up 1.5*Bush*Davis*None*1:37*D*20,000*+++++*None
Monday, Jul 14*boxscore*NYY*None*SLB*W*7*3*None*47-34*1*up 1.0*Pennock*Danforth*None*1:46*D*15,000*++++++*None
Monday, Jul 14*boxscore*NYY*None*SLB*L*4*9*None*47-35*1*up 1.0*Wingard*Shawkey*None*1:55*D*25,000*-*1924-05-16 (Rain)
Tuesday, Jul 15*boxscore*NYY*None*SLB*W*5*4*None*48-35*1*up 1.0*Gaston*Shocker*None*2:05*D*10,000*+*None
Wednesday, Jul 16*boxscore*NYY*None*CLE*L*3*4*None*48-36*1*up 0.5*Shaute*Hoyt*None*2:07*D*8,000*-*1924-05-20 (Rain)
Friday, Jul 18*boxscore*NYY*None*CLE*L*2*9*None*48-37*1*up 1.0*Smith*Bush*None*2:05*D*15,000*--*None
Friday, Jul 18*boxscore*NYY*None*CLE*W*7*2*None*49-37*1*up 1.0*Pennock*Uhle*None*2:05*D*20,000*+*1924-05-21 (Rain)
Saturday, Jul 19*boxscore*NYY*None*CLE*W*10*5*None*50-37*1*up 0.5*Shawkey*Coveleski*None*2:10*D*20,000*++*None
Sunday, Jul 20*boxscore*NYY*None*CLE*W*4*1*None*51-37*1*up 1.5*Jones*Shaute*None*1:40*D*None*+++*None
Sunday, Jul 20*boxscore*NYY*None*CLE*W*10*4*None*52-37*1*up 1.5*Mamaux*Dawson*Gaston*2:10*D*50,000*++++*1924-07-17 (Rain)
Monday, Jul 21*boxscore*NYY*None*DET*L*7*9*None*52-38*1*up 0.5*Whitehill*Bush*None*2:42*D*20,000*-*None
Tuesday, Jul 22*boxscore*NYY*None*DET*L*1*3*None*52-39*2* 0.5*Wells*Pennock*None*2:02*D*20,000*--*None
Wednesday, Jul 23*boxscore*NYY*None*DET*W*4*3*11*53-39*1*up 0.5*Gaston*Dauss*None*2:45*D*20,000*+*None
Thursday, Jul 24*boxscore*NYY*None*DET*L*4*5*8*53-40*2* 0.5*Holloway*Mamaux*Wells*2:20*D*18,000*-*None
Saturday, Jul 26*boxscore*NYY*@*CHW*W*5*4*14*54-40*2* 0.5*Pennock*Connally*None*3:25*D*23,000*+*None
Sunday, Jul 27*boxscore*NYY*@*CHW*L*6*7*None*54-41*2* 0.5*Robertson*Shawkey*None*2:19*D*40,000*-*None
Monday, Jul 28*boxscore*NYY*@*CHW*W*8*3*None*55-41*1*up 1.0*Bush*Faber*None*2:02*D*None*+*None
Monday, Jul 28*boxscore*NYY*@*CHW*W*12*10*None*56-41*1*up 1.0*Shawkey*Mangum*Hoyt*2:18*D*33,000*++*1924-06-05 (Rain)
Tuesday, Jul 29*boxscore*NYY*@*CHW*W*9*4*None*57-41*1*up 1.0*Pennock*Thurston*None*1:47*D*5,000*+++*None
Thursday, Jul 31*boxscore*NYY*@*SLB*L*1*2*None*57-42*1*up 0.5*Wingard*Hoyt*None*1:26*D*10,000*-*None
Thursday, Jul 31*boxscore*NYY*@*SLB*L*4*5*None*57-43*1*up 0.5*Danforth*Gaston*None*2:05*D*17,000*--*1924-07-30 (Rain)
Friday, Aug 1*boxscore*NYY*@*SLB*W*3*2*None*58-43*1*up 0.5*Bush*Shocker*None*1:45*D*8,000*+*None
Saturday, Aug 2*boxscore*NYY*@*SLB*L*8*12*None*58-44*1*up 0.5*Pruett*Jones*Danforth*2:25*D*15,000*-*None
Sunday, Aug 3*boxscore*NYY*@*DET*L*2*5*None*58-45*1* Tied*Whitehill*Pennock*None*2:25*D*42,712*--*None
Monday, Aug 4*boxscore*NYY*@*DET*W*9*8*11*59-45*1*up 1.0*Gaston*Dauss*None*2:51*D*16,000*+*None
Tuesday, Aug 5*boxscore*NYY*@*DET*W*9*2*None*60-45*1*up 2.0*Hoyt*Wells*None*2:21*D*20,000*++*None
Wednesday, Aug 6*boxscore*NYY*@*DET*L*2*5*5*60-46*1*up 1.0*Whitehill*Bush*None*1:14*D*10,000*-*None
Thursday, Aug 7*boxscore*NYY*@*CLE*W*7*5*None*61-46*1*up 2.0*Pennock*Smith*None*1:52*D*12,000*+*None
Friday, Aug 8*boxscore*NYY*@*CLE*L*8*10*None*61-47*1*up 1.0*Shaute*Shawkey*None*2:00*D*20,000*-*None
Saturday, Aug 9*boxscore*NYY*@*CLE*W*5*1*None*62-47*1*up 1.0*Hoyt*Coveleski*None*1:35*D*20,000*+*None
Sunday, Aug 10*boxscore*NYY*@*CLE*L*1*7*None*62-48*1* Tied*Shaute*Gaston*None*1:43*D*25,000*-*None
Wednesday, Aug 13*boxscore*NYY*None*SLB*W*1*0*None*63-48*1*up 1.0*Pennock*Wingard*None*1:26*D*20,000*+*None
Wednesday, Aug 13*boxscore*NYY*None*SLB*W*2*1*None*64-48*1*up 1.0*Bush*Shocker*None*1:27*D*30,000*++*1924-08-12 (Rain)
Thursday, Aug 14*boxscore*NYY*None*SLB*L*5*8*None*64-49*1*up 1.0*Danforth*Hoyt*None*2:27*D*8,000*-*None
Saturday, Aug 16*boxscore*NYY*None*CHW*W*3*2*None*65-49*1*up 0.5*Hoyt*Cvengros*None*2:16*D*25,000*+*None
Sunday, Aug 17*boxscore*NYY*None*CHW*W*2*1*None*66-49*1*up 1.5*Pennock*Thurston*None*2:05*D*25,000*++*None
