"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Wednesday, Jun 24","None","NYY","@","CLE","W",6,3,"None","22-24",6,"None","None","None","None","None",NA,"+","None",1903,-7.5,3,166,200,-34,22,23,-1,0.488888888888889,NA
"Wednesday, Jun 24","None","NYY","@","CLE","L",0,3,"None","22-25",6,"None","None","None","None","None",NA,"-","1903-06-22 (Rain)",1903,-7.5,-3,166,203,-37,22,24,-2,0.478260869565217,NA
"Thursday, Jun 25","None","NYY","@","CHW","T",6,6,"None","22-25",6,"None","None","None","None","None",NA,"-","None",1903,-8,0,172,209,-37,23,25,-2,0.479166666666667,NA
"Friday, Jun 26","None","NYY","@","CHW","L",2,3,"None","22-26",6,"None","None","None","None","None",NA,"--","None",1903,-8.5,-1,174,212,-38,23,26,-3,0.469387755102041,NA
"Saturday, Jun 27","None","NYY","@","CHW","L",4,7,"None","22-27",7,"None","None","None","None","None",NA,"---","None",1903,-9.5,-3,178,219,-41,23,27,-4,0.46,NA
"Sunday, Jun 28","None","NYY","@","CHW","W",12,2,"None","23-27",6,"None","None","None","None","None",NA,"+","None",1903,-10.5,10,190,221,-31,24,27,-3,0.470588235294118,NA
"Sunday, Jun 28","None","NYY","@","CHW","L",1,2,"None","23-28",6,"None","None","None","None","None",NA,"-","1903-05-21 (Rain)",1903,-10.5,-1,191,223,-32,24,28,-4,0.461538461538462,NA
"Monday, Jun 29","None","NYY","@","SLB","W",6,3,"None","24-28",6,"None","None","None","None","None",NA,"+","None",1903,-10.5,3,197,226,-29,25,28,-3,0.471698113207547,NA
"Tuesday, Jun 30","None","NYY","@","SLB","W",2,1,"None","25-28",6,"None","None","None","None","None",NA,"++","None",1903,-9.5,1,199,227,-28,26,28,-2,0.481481481481481,NA
"Wednesday, Jul 1","None","NYY","@","SLB","W",7,3,"None","26-28",5,"None","None","None","None","None",NA,"+++","None",1903,-9.5,4,206,230,-24,27,28,-1,0.490909090909091,NA
"Thursday, Jul 2","None","NYY","@","SLB","W",3,2,"None","27-28",5,"None","None","None","None","None",NA,"++++","None",1903,-8.5,1,209,232,-23,28,28,0,0.5,NA
"Saturday, Jul 4","None","NYY","None","CHW","W",5,3,"None","28-28",4,"None","None","None","None","None",NA,"+++++","None",1903,-8.5,2,214,235,-21,29,28,1,0.508771929824561,NA
"Saturday, Jul 4","None","NYY","None","CHW","W",5,3,"None","29-28",4,"None","None","None","None","None",NA,"++++++","None",1903,-8.5,2,219,238,-19,30,28,2,0.517241379310345,NA
"Monday, Jul 6","None","NYY","None","CHW","W",4,2,"None","30-28",4,"None","None","None","None","None",NA,"+++++++","None",1903,-8.5,2,223,240,-17,31,28,3,0.525423728813559,NA
"Tuesday, Jul 7","None","NYY","None","CHW","L",2,3,"None","30-29",4,"None","None","None","None","None",NA,"-","None",1903,-8.5,-1,225,243,-18,31,29,2,0.516666666666667,NA
"Wednesday, Jul 8","None","NYY","None","SLB","L",1,6,"None","30-30",4,"None","None","None","None","None",NA,"--","None",1903,-9.5,-5,226,249,-23,31,30,1,0.508196721311475,NA
"Thursday, Jul 9","None","NYY","None","SLB","W",5,4,"None","31-30",4,"None","None","None","None","None",NA,"+","None",1903,-9.5,1,231,253,-22,32,30,2,0.516129032258065,NA
"Friday, Jul 10","None","NYY","None","SLB","W",3,1,"None","32-30",4,"None","None","None","None","None",NA,"++","None",1903,-8.5,2,234,254,-20,33,30,3,0.523809523809524,NA
"Saturday, Jul 11","None","NYY","None","SLB","W",5,4,"None","33-30",4,"None","None","None","None","None",NA,"+++","None",1903,-8.5,1,239,258,-19,34,30,4,0.53125,NA
"Monday, Jul 13","None","NYY","None","DET","L",3,4,"None","33-31",4,"None","None","None","None","None",NA,"-","None",1903,-9,-1,242,262,-20,34,31,3,0.523076923076923,NA
"Tuesday, Jul 14","None","NYY","None","DET","W",5,4,"None","34-31",4,"None","None","None","None","None",NA,"+","None",1903,-8,1,247,266,-19,35,31,4,0.53030303030303,NA
"Wednesday, Jul 15","None","NYY","None","DET","L",4,7,"None","34-32",4,"None","None","None","None","None",NA,"-","None",1903,-8.5,-3,251,273,-22,35,32,3,0.522388059701492,NA
"Thursday, Jul 16","None","NYY","None","DET","L",2,10,"None","34-33",4,"None","None","None","None","None",NA,"--","None",1903,-9.5,-8,253,283,-30,35,33,2,0.514705882352941,NA
"Friday, Jul 17","None","NYY","None","CLE","L",4,11,"None","34-34",4,"None","None","None","None","None",NA,"---","None",1903,-10.5,-7,257,294,-37,35,34,1,0.507246376811594,NA
"Monday, Jul 20","None","NYY","None","CLE","W",7,3,"None","35-34",4,"None","None","None","None","None",NA,"+","None",1903,-10.5,4,264,297,-33,36,34,2,0.514285714285714,NA
"Monday, Jul 20","None","NYY","None","CLE","L",0,2,"None","35-35",4,"None","None","None","None","None",NA,"-","1903-07-18 (Rain)",1903,-10.5,-2,264,299,-35,36,35,1,0.507042253521127,NA
"Tuesday, Jul 21","None","NYY","None","CLE","W",9,3,"None","36-35",4,"None","None","None","None","None",NA,"+","None",1903,-10,6,273,302,-29,37,35,2,0.513888888888889,NA
"Thursday, Jul 23","None","NYY","None","BOS","L",1,6,"None","36-36",4,"None","None","None","None","None",NA,"-","None",1903,-10,-5,274,308,-34,37,36,1,0.506849315068493,NA
"Thursday, Jul 23","None","NYY","None","BOS","W",4,2,"None","37-36",4,"None","None","None","None","None",NA,"+","1903-07-22 (Rain)",1903,-10,2,278,310,-32,38,36,2,0.513513513513513,NA
"Friday, Jul 24","None","NYY","None","BOS","L",2,8,"None","37-37",5,"None","None","None","None","None",NA,"-","None",1903,-11,-6,280,318,-38,38,37,1,0.506666666666667,NA
