"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Wednesday, Jun 2","boxscore","COL","None","PIT","L",3,5,"None","15-38",7,"Petkovsek","Parrett","Belinda","3:03","N",50122,"--","None",1993,-19.5,-2,226,344,-118,15,37,0.288461538461538,2317412
"Friday, Jun 4","boxscore","COL","@","PHI","W",2,1,"None","16-38",7,"Blair","Mulholland","Wayne","2:32","N",43333,"+","None",1993,-18,1,228,345,-117,16,37,0.30188679245283,2360745
"Saturday, Jun 5","boxscore","COL","@","PHI","L",2,6,"None","16-39",7,"Greene","Reynoso","None","2:35","N",43837,"-","None",1993,-19,-4,230,351,-121,16,38,0.296296296296296,2404582
"Sunday, Jun 6","boxscore","COL","@","PHI","L",7,11,"None","16-40",7,"Schilling","Ashby","None","3:24","D",55714,"--","None",1993,-20,-4,237,362,-125,16,39,0.290909090909091,2460296
"Tuesday, Jun 8","boxscore","COL","@","PIT","W",4,1,"None","17-40",7,"Ruffin","Wagner","Shepherd","2:26","N",16722,"+","None",1993,-19,3,241,363,-122,17,39,0.303571428571429,2477018
"Wednesday, Jun 9","boxscore","COL","@","PIT","L",1,4,"None","17-41",7,"Neagle","Blair","Belinda","2:22","N",30625,"-","None",1993,-20,-3,242,367,-125,17,40,0.298245614035088,2507643
"Friday, Jun 11","boxscore","COL","None","HOU","W",5,4,"None","18-41",7,"Parrett","Hernandez","Holmes","3:19","N",57136,"+","None",1993,-20,1,247,371,-124,18,40,0.310344827586207,2564779
"Saturday, Jun 12","boxscore","COL","None","HOU","W",14,11,"None","19-41",7,"Shepherd","Jones","None","3:27","N",60864,"++","None",1993,-20,3,261,382,-121,19,40,0.322033898305085,2625643
"Sunday, Jun 13","boxscore","COL","None","HOU","W",9,1,"None","20-41",7,"Ruffin","Swindell","None","3:21","D",60349,"+++","None",1993,-20,8,270,383,-113,20,40,0.333333333333333,2685992
"Monday, Jun 14","boxscore","COL","None","LAD","L",4,9,"None","20-42",7,"Astacio","Blair","None","3:02","N",51475,"-","None",1993,-20.5,-5,274,392,-118,20,41,0.327868852459016,2737467
"Tuesday, Jun 15","boxscore","COL","None","LAD","L",4,12,"None","20-43",7,"McDowell","Shepherd","None","3:22","N",55772,"--","None",1993,-20.5,-8,278,404,-126,20,42,0.32258064516129,2793239
"Wednesday, Jun 16","boxscore","COL","None","LAD","W",7,6,"None","21-43",7,"Reynoso","Gross","Grant","2:37","N",51765,"+","None",1993,-20.5,1,285,410,-125,21,42,0.333333333333333,2845004
"Friday, Jun 18","boxscore","COL","None","SDP","L",1,11,"None","21-44",7,"Harris","Ruffin","None","2:42","N",52159,"-","None",1993,-22,-10,286,421,-135,21,43,0.328125,2897163
"Saturday, Jun 19","boxscore","COL","None","SDP","W",17,3,"None","22-44",7,"Blair","Taylor","None","2:52","N",55603,"+","None",1993,-22,14,303,424,-121,22,43,0.338461538461538,2952766
"Sunday, Jun 20","boxscore","COL","None","SDP","W",3,1,"None","23-44",7,"Reed","Mason","Holmes","2:51","D",63661,"++","None",1993,-22,2,306,425,-119,23,43,0.348484848484849,3016427
"Monday, Jun 21","boxscore","COL","None","CIN","W-wo",5,4,"10","24-44",7,"Reed","Reardon","None","2:55","N",51835,"+++","None",1993,-22,1,311,429,-118,24,43,0.358208955223881,3068262
"Tuesday, Jun 22","boxscore","COL","None","CIN","L",13,16,"None","24-45",7,"Wickander","Grant","Dibble","3:27","N",58597,"-","None",1993,-22,-3,324,445,-121,24,44,0.352941176470588,3126859
"Wednesday, Jun 23","boxscore","COL","None","CIN","W",15,5,"None","25-45",7,"Parrett","Pugh","None","2:59","D",60282,"+","None",1993,-22,10,339,450,-111,25,44,0.36231884057971,3187141
"Thursday, Jun 24","boxscore","COL","@","SFG","L",2,17,"None","25-46",7,"Burkett","Blair","None","2:46","D",39827,"-","None",1993,-23,-15,341,467,-126,25,45,0.357142857142857,3226968
"Friday, Jun 25","boxscore","COL","@","SFG","L",2,7,"None","25-47",7,"Hickerson","Henry","None","2:47","N",30722,"--","None",1993,-24,-5,343,474,-131,25,46,0.352112676056338,3257690
"Saturday, Jun 26","boxscore","COL","@","SFG","W",5,1,"None","26-47",7,"Reynoso","Wilson","None","3:19","D",39327,"+","None",1993,-23,4,348,475,-127,26,46,0.361111111111111,3297017
"Sunday, Jun 27","boxscore","COL","@","SFG","L",0,5,"None","26-48",7,"Swift","Leskanic","None","1:59","D",45408,"-","None",1993,-24,-5,348,480,-132,26,47,0.356164383561644,3342425
"Tuesday, Jun 29","boxscore","COL","@","ATL","L",4,6,"None","26-49",7,"Smoltz","Ruffin","Stanton","2:38","N",48974,"--","None",1993,-24.5,-2,352,486,-134,26,48,0.351351351351351,3391399
"Wednesday, Jun 30","boxscore","COL","@","ATL","L-wo",2,3,"None","26-50",7,"Wohlers","Shepherd","None","2:26","N",48791,"---","None",1993,-24.5,-1,354,489,-135,26,49,0.346666666666667,3440190
"Thursday, Jul 1","boxscore","COL","@","ATL","L",0,4,"None","26-51",7,"Glavine","Reynoso","None","2:31","N",45252,"----","None",1993,-25,-4,354,493,-139,26,50,0.342105263157895,3485442
"Friday, Jul 2","boxscore","COL","None","CHC","L",8,11,"None","26-52",7,"Bautista","Shepherd","Myers","3:24","N",62037,"-----","None",1993,-26,-3,362,504,-142,26,51,0.337662337662338,3547479
"Saturday, Jul 3","boxscore","COL","None","CHC","W-wo",5,4,"None","27-52",7,"Reed","Myers","None","3:02","N",63826,"+","None",1993,-25,1,367,508,-141,27,51,0.346153846153846,3611305
"Sunday, Jul 4","boxscore","COL","None","CHC","W",3,1,"None","28-52",7,"Parrett","Morgan","Holmes","2:21","D",59259,"++","None",1993,-25,2,370,509,-139,28,51,0.354430379746835,3670564
"Monday, Jul 5","boxscore","COL","None","CHC","L",1,10,"None","28-53",7,"Harkey","Blair","None","2:41","N",55185,"-","None",1993,-26,-9,371,519,-148,28,52,0.35,3725749
"Tuesday, Jul 6","boxscore","COL","None","FLA","W",8,3,"None","29-53",7,"Reynoso","Hough","None","2:48","N",47528,"+","None",1993,-26,5,379,522,-143,29,52,0.358024691358025,3773277
"Wednesday, Jul 7","boxscore","COL","None","FLA","W-wo",6,5,"None","30-53",7,"Reed","Harvey","None","2:43","N",50707,"++","None",1993,-25,1,385,527,-142,30,52,0.365853658536585,3823984
"Thursday, Jul 8","boxscore","COL","None","FLA","W",3,2,"None","31-53",7,"Leskanic","Rapp","Holmes","2:36","D",56807,"+++","None",1993,-25,1,388,529,-141,31,52,0.373493975903614,3880791
