"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","games_behind","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year"
"Thursday, Jun 7","boxscore","HOU","None","MLN","W-wo","3","2","None","23-30","7"," 15.0","McMahon","Spahn","None","2:25","N","14,818","+","None",1962
"Friday, Jun 8","boxscore","HOU","None","LAD","L","3","4","13","23-31","7"," 15.5","Sherry","McMahon","None","3:52","N","15,877","-","None",1962
"Saturday, Jun 9","boxscore","HOU","None","LAD","W","13","1","None","24-31","7"," 14.5","Bruce","Williams","None","2:47","D","11,908","+","None",1962
"Sunday, Jun 10","boxscore","HOU","None","LAD","L","3","9","None","24-32","7"," 16.5","Drysdale","Golden","None","2:45","D","None","-","None",1962
"Sunday, Jun 10","boxscore","HOU","None","LAD","L","7","9","None","24-33","7"," 16.5","Moeller","Woodeshick","Perranoski","3:03","D","30,027","--","None",1962
"Monday, Jun 11","boxscore","HOU","None","NYM","L","1","3","None","24-34","8"," 17.0","Jackson","Farrell","None","2:10","N","8,920","---","None",1962
"Tuesday, Jun 12","boxscore","HOU","None","NYM","W-wo","3","2","None","25-34","7"," 16.0","Johnson","Anderson","None","2:25","N","7,344","+","None",1962
"Thursday, Jun 14","boxscore","HOU","None","NYM","W","10","2","None","26-34","7"," 15.5","Bruce","Hook","None","3:00","N","10,761","++","None",1962
"Friday, Jun 15","boxscore","HOU","@","LAD","W","2","0","None","27-34","7"," 14.5","Golden","Drysdale","None","1:56","N","22,709","+++","None",1962
"Saturday, Jun 16","boxscore","HOU","@","LAD","W","4","1","None","28-34","7"," 13.5","Farrell","Podres","None","2:19","N","51,530","++++","None",1962
"Sunday, Jun 17","boxscore","HOU","@","LAD","L","2","6","None","28-35","7"," 14.5","Roebuck","Johnson","Sherry","2:42","D","47,397","-","None",1962
"Tuesday, Jun 19","boxscore","HOU","@","SFG","W","6","4","None","29-35","7"," 15.0","Giusti","O'Dell","Farrell","3:01","N","18,749","+","None",1962
"Wednesday, Jun 20","boxscore","HOU","@","SFG","W","9","5","None","30-35","7"," 14.0","Stone","Miller","McMahon","2:46","D","10,430","++","None",1962
"Friday, Jun 22","boxscore","HOU","@","NYM","L","0","2","None","30-36","7"," 13.5","Jackson","Farrell","None","2:14","N","None","-","None",1962
"Friday, Jun 22","boxscore","HOU","@","NYM","W","16","3","None","31-36","7"," 13.5","Golden","Miller","None","2:54","N","11,484","+","1962-04-16 (Cold)",1962
"Saturday, Jun 23","boxscore","HOU","@","NYM","L","2","13","None","31-37","7"," 14.5","Hook","Johnson","None","2:28","D","6,425","-","None",1962
"Monday, Jun 25","boxscore","HOU","@","PHI","L-wo","3","4","None","31-38","7"," 14.0","Green","Woodeshick","None","2:25","N","8,087","--","None",1962
"Tuesday, Jun 26","boxscore","HOU","@","PHI","L","0","2","None","31-39","8"," 15.0","Hamilton","Farrell","None","2:07","N","None","---","1962-04-15 (Rain)",1962
"Tuesday, Jun 26","boxscore","HOU","@","PHI","L","4","6","None","31-40","8"," 15.0","Mahaffey","Golden","None","2:22","N","18,707","----","None",1962
"Friday, Jun 29","boxscore","HOU","None","CIN","L","0","4","None","31-41","8"," 16.0","O'Toole","Johnson","None","2:17","N","7,612","-----","None",1962
"Saturday, Jun 30","boxscore","HOU","None","CIN","W","7","3","7","32-41","8"," 16.0","Bruce","Maloney","None","2:32","N","9,758","+","None",1962
"Sunday, Jul 1","boxscore","HOU","None","CIN","L","1","6","None","32-42","8"," 17.0","Jay","Golden","None","2:25","D","6,666","-","None",1962
"Monday, Jul 2","boxscore","HOU","None","PIT","&V","2","4","None","32-43","8"," 18.0","Friend","Woodeshick","Face","2:35","N","11,760","--","None",1962
"Tuesday, Jul 3","boxscore","HOU","None","PIT","L","2","5","None","32-44","8"," 18.5","Haddix","Johnson","Face","2:20","N","10,729","---","None",1962
"Wednesday, Jul 4","boxscore","HOU","None","PIT","L","0","7","None","32-45","8"," 20.5","Law","Bruce","None","2:26","N","None","----","None",1962
"Wednesday, Jul 4","boxscore","HOU","None","PIT","L","3","4","None","32-46","8"," 20.5","Francis","Golden","Face","2:15","N","20,005","-----","None",1962
"Friday, Jul 6","boxscore","HOU","@","CIN","W","2","0","None","33-46","8"," 20.0","Woodeshick","Jay","None","2:09","N","15,871","+","None",1962
"Saturday, Jul 7","boxscore","HOU","@","CIN","L","1","10","None","33-47","8"," 20.5","Purkey","Johnson","None","2:36","D","6,936","-","None",1962
"Sunday, Jul 8","boxscore","HOU","@","CIN","L","8","12","None","33-48","8"," 21.5","Maloney","Farrell","None","3:01","D","None","--","None",1962
"Sunday, Jul 8","boxscore","HOU","@","CIN","L-wo","11","12","13","33-49","8"," 21.5","O'Toole","Farrell","None","5:06","D","18,332","---","None",1962
"Wednesday, Jul 11","boxscore","HOU","@","PHI","L","1","6","None","33-50","8"," 22.0","Mahaffey","Woodeshick","None","1:55","N","3,441","----","1962-04-15 (Rain)",1962
"Thursday, Jul 12","boxscore","HOU","@","PIT","L","4","6","None","33-51","8"," 23.0","McBean","Golden","None","2:10","D","14,784","-----","None",1962
"Friday, Jul 13","boxscore","HOU","@","PIT","L","0","4","None","33-52","8"," 24.0","Friend","Farrell","None","2:04","N","15,376","------","None",1962
"Saturday, Jul 14","boxscore","HOU","@","PIT","L","2","4","None","33-53","8"," 25.0","Law","Bruce","None","2:00","N","7,343","-------","None",1962
"Sunday, Jul 15","boxscore","HOU","None","CHC","W","5","4","None","34-53","8"," 25.0","Woodeshick","Buhl","McMahon","2:05","D","None","+","None",1962
"Sunday, Jul 15","boxscore","HOU","None","CHC","L","1","4","None","34-54","8"," 25.0","Ellsworth","Johnson","None","2:39","D","6,907","-","None",1962
"Tuesday, Jul 17","boxscore","HOU","None","PHI","L","0","3","None","34-55","8"," 25.5","Hamilton","Kemmerer","Baldschun","2:07","N","None","--","None",1962
"Tuesday, Jul 17","boxscore","HOU","None","PHI","L","2","8","None","34-56","8"," 25.5","McLish","Farrell","Bennett","2:36","N","8,115","---","1962-04-23 (Wet grounds)",1962
"Wednesday, Jul 18","boxscore","HOU","None","PHI","L","2","6","None","34-57","8"," 26.5","Green","Bruce","None","2:39","N","5,140","----","None",1962
"Thursday, Jul 19","boxscore","HOU","None","PHI","L","2","6","None","34-58","8"," 26.5","Short","Woodeshick","Baldschun","3:06","N","5,017","-----","None",1962
"Friday, Jul 20","boxscore","HOU","None","STL","W-wo","4","3","None","35-58","8"," 26.5","Farrell","McDaniel","None","2:42","N","15,422","+","None",1962
"Saturday, Jul 21","boxscore","HOU","None","STL","L","0","7","None","35-59","8"," 27.0","Jackson","Kemmerer","None","2:07","D","None","-","None",1962
