"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Saturday, Jun 14","boxscore","SFG","None","PHI","L",2,3,"None","31-26",2,"Semproch","Monzant","None","2:07","D",16363,"-","None",1958,-1.5,-1,303,264,39,30,26,0.535714285714286,NA
"Sunday, Jun 15","boxscore","SFG","None","PHI","W",3,1,"None","32-26",2,"Worthington","Simmons","None","2:05","D",22462,"+","None",1958,-1.5,2,306,265,41,31,26,0.543859649122807,NA
"Tuesday, Jun 17","boxscore","SFG","@","PIT","L",1,6,"None","32-27",2,"Raydon","Antonelli","Face","2:31","N",27763,"-","None",1958,-2.5,-5,307,271,36,31,27,0.53448275862069,NA
"Wednesday, Jun 18","boxscore","SFG","@","PIT","W",2,1,"10","33-27",2,"Giel","Friend","Grissom","2:39","N",21512,"+","None",1958,-2,1,309,272,37,32,27,0.542372881355932,NA
"Thursday, Jun 19","boxscore","SFG","@","PIT","L",5,6,"None","33-28",2,"Kline","Worthington","Gross","2:21","D",8474,"-","None",1958,-2,-1,314,278,36,32,28,0.533333333333333,NA
"Friday, Jun 20","boxscore","SFG","@","PHI","L-wo",4,5,"None","33-29",2,"Hearn","Gomez","None","2:40","N",14877,"--","None",1958,-3,-1,318,283,35,32,29,0.524590163934426,NA
"Sunday, Jun 22","boxscore","SFG","@","PHI","W",5,4,"14","34-29",2,"Antonelli","Semproch","None","4:23","D",NA,"+","None",1958,-2,1,323,287,36,33,29,0.532258064516129,NA
"Sunday, Jun 22","boxscore","SFG","@","PHI","L",2,3,"None","34-30",2,"Roberts","Gomez","None","1:14","D",30454,"-","None",1958,-2,-1,325,290,35,33,30,0.523809523809524,NA
"Monday, Jun 23","boxscore","SFG","@","MLN","L",0,7,"None","34-31",2,"Willey","Giel","None","2:15","N",22416,"--","None",1958,-3,-7,325,297,28,33,31,0.515625,NA
"Tuesday, Jun 24","boxscore","SFG","@","MLN","L",1,2,"None","34-32",3,"Spahn","Miller","None","2:37","N",23546,"---","None",1958,-4,-1,326,299,27,33,32,0.507692307692308,NA
"Wednesday, Jun 25","boxscore","SFG","@","MLN","W",10,2,"None","35-32",3,"Worthington","Rush","Monzant","2:48","N",26625,"+","None",1958,-3,8,336,301,35,34,32,0.515151515151515,NA
"Thursday, Jun 26","boxscore","SFG","@","CIN","W",5,1,"None","36-32",3,"Antonelli","Haddix","None","2:03","N",11736,"++","None",1958,-2,4,341,302,39,35,32,0.522388059701492,NA
"Friday, Jun 27","boxscore","SFG","@","CIN","L-wo",5,6,"None","36-33",3,"Jeffcoat","Grissom","None","2:25","N",18950,"-","None",1958,-2,-1,346,308,38,35,33,0.514705882352941,NA
"Saturday, Jun 28","boxscore","SFG","@","CIN","L",2,8,"None","36-34",3,"Nuxhall","Monzant","None","2:32","N",19416,"--","None",1958,-3,-6,348,316,32,35,34,0.507246376811594,NA
"Sunday, Jun 29","boxscore","SFG","@","CIN","W",2,0,"None","37-34",3,"Worthington","Newcombe","Antonelli","2:05","D",18490,"+","None",1958,-3,2,350,316,34,36,34,0.514285714285714,NA
"Tuesday, Jul 1","boxscore","SFG","@","CHC","L",5,9,"None","37-35",3,"Drabowsky","Antonelli","Hobbie","3:00","D",16549,"-","None",1958,-4.5,-4,355,325,30,36,35,0.507042253521127,NA
"Wednesday, Jul 2","boxscore","SFG","@","CHC","W",5,2,"None","38-35",3,"Miller","Drott","Antonelli","2:40","D",14181,"+","None",1958,-3.5,3,360,327,33,37,35,0.513888888888889,NA
"Thursday, Jul 3","boxscore","SFG","None","CHC","L",3,4,"None","38-36",3,"Hobbie","Giel","Elston","2:49","D",9477,"-","None",1958,-3.5,-1,363,331,32,37,36,0.506849315068493,NA
"Friday, Jul 4","boxscore","SFG","None","CHC","W-wo",6,5,"None","39-36",3,"Grissom","Hobbie","None","3:00","D",NA,"+","None",1958,-2.5,1,369,336,33,38,36,0.513513513513513,NA
"Friday, Jul 4","boxscore","SFG","None","CHC","L",1,6,"None","39-37",3,"Hillman","Antonelli","None","2:25","D",22715,"-","None",1958,-2.5,-5,370,342,28,38,37,0.506666666666667,NA
