date,boxscore,team,home_or_away,opponent,win_or_loss,runs,runs_allowed,innings,win_loss_record,rank,games_behind,win,loss,save,time,day_or_night,attendance,streak,originally_scheduled
"Saturday, Sep 4",boxscore,ARI,@,SFG,L,7,9,None,42-94,5, 36.5,Eyre,Koplove,Hermanson,2:52,D,"41,552",---,None
"Sunday, Sep 5",boxscore,ARI,@,SFG,L,1,4,None,42-95,5, 36.5,Tomko,Johnson,Hermanson,2:35,D,"42,099",----,None
"Tuesday, Sep 7",boxscore,ARI,@,LAD,L,2,8,None,42-96,5, 37.5,Nomo,Webb,None,2:58,N,"35,078",-----,None
"Wednesday, Sep 8",boxscore,ARI,@,LAD,L-wo,5,6,None,42-97,5, 38.5,Gagne,Koplove,None,2:40,N,"28,888",------,None
"Thursday, Sep 9",boxscore,ARI,@,LAD,L,3,5,None,42-98,5, 39.5,Lima,Gonzalez,Gagne,2:29,N,"27,287",-------,None
"Friday, Sep 10",boxscore,ARI,None,SFG,W,2,1,None,43-98,5, 39.5,Johnson,Brower,Aquino,2:23,N,"34,284",+,None
"Saturday, Sep 11",boxscore,ARI,None,SFG,L,3,5,None,43-99,5, 40.5,Lowry,Randolph,Hermanson,2:40,N,"36,887",-,None
"Sunday, Sep 12",boxscore,ARI,None,SFG,L,2,5,None,43-100,5, 40.5,Schmidt,Choate,None,2:33,D,"30,903",--,None
"Monday, Sep 13",boxscore,ARI,None,COL,L,2,9,None,43-101,5, 40.5,Kennedy,Fossum,None,2:37,N,"22,070",---,None
"Tuesday, Sep 14",boxscore,ARI,None,COL,W-wo,4,3,13,44-101,5, 40.5,Choate,Reed,None,3:25,N,"23,175",+,None
"Wednesday, Sep 15",boxscore,ARI,None,COL,W,3,2,None,45-101,5, 39.5,Johnson,Estes,Aquino,2:03,N,"22,598",++,None
"Thursday, Sep 16",boxscore,ARI,None,COL,W,8,5,None,46-101,5, 38.5,Durbin,Dohmann,Fetters,3:02,D,"22,281",+++,None
"Friday, Sep 17",boxscore,ARI,@,STL,L-wo,3,4,None,46-102,5, 39.5,Isringhausen,Service,None,3:01,N,"37,280",-,None
"Saturday, Sep 18",boxscore,ARI,@,STL,L,0,7,None,46-103,5, 39.5,Haren,Fossum,None,2:39,D,"43,791",--,None
"Sunday, Sep 19",boxscore,ARI,@,STL,W,3,2,None,47-103,5, 39.5,Gosling,Suppan,Aquino,2:50,D,"41,279",+,None
"Wednesday, Sep 22",boxscore,ARI,@,COL,L,2,4,None,47-104,5, 39.0,Estes,Johnson,Chacon,2:24,N,"20,125",-,None
"Thursday, Sep 23",boxscore,ARI,@,COL,L,1,7,None,47-105,5, 40.5,Francis,Webb,None,2:41,D,None,--,None
"Thursday, Sep 23",boxscore,ARI,@,COL,L-wo,1,2,10,47-106,5, 40.5,Simpson,Choate,None,2:49,D,"20,765",---,2004-09-21 (Rain)
"Friday, Sep 24",boxscore,ARI,@,SDP,L-wo,5,6,None,47-107,5, 41.5,Otsuka,Aquino,None,2:52,N,"36,927",----,None
"Saturday, Sep 25",boxscore,ARI,@,SDP,L,5,6,None,47-108,5, 41.5,Osuna,Durbin,Hoffman,3:02,N,"44,863",-----,None
"Sunday, Sep 26",boxscore,ARI,@,SDP,L,1,7,None,47-109,5, 42.5,Peavy,Sparks,None,2:33,D,"39,639",------,None
"Monday, Sep 27",boxscore,ARI,None,MIL,W,3,1,None,48-109,5, 42.5,Johnson,Sheets,Aquino,2:18,N,"25,123",+,None
"Tuesday, Sep 28",boxscore,ARI,None,MIL,W-wo,9,8,11,49-109,5, 42.5,Koplove,Kieschnick,None,3:28,N,"23,936",++,None
"Wednesday, Sep 29",boxscore,ARI,None,MIL,L,1,4,None,49-110,5, 42.5,Glover,Fossum,Vizcaino,3:02,D,"21,710",-,None
"Friday, Oct 1",boxscore,ARI,None,SDP,L,2,3,None,49-111,5, 43.0,Peavy,Gosling,Hoffman,2:23,N,"25,929",--,None
"Saturday, Oct 2",boxscore,ARI,None,SDP,W,7,6,None,50-111,5, 43.0,Johnson,Bynum,Aquino,2:38,N,"30,733",+,None
"Sunday, Oct 3",boxscore,ARI,None,SDP,W,4,1,None,51-111,5, 42.0,Webb,Wells,Aquino,2:18,D,"29,425",++,None
