"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Saturday, May 21","boxscore","SEA","@","OAK","W",7,6,"None","15-28",7,"Kekich","Lacey","None","2:57","D",3230,"+","None",1977,-11.5,1,172,239,-67,15,28,-13,0.348837209302326,NA
"Sunday, May 22","boxscore","SEA","@","OAK","W",6,2,"None","16-28",7,"Pole","Blue","Romo","2:37","D",3138,"++","None",1977,-11.5,4,178,241,-63,16,28,-12,0.363636363636364,NA
"Tuesday, May 24","boxscore","SEA","@","CLE","L",5,7,"None","16-29",7,"Waits","Romo","Kern","2:54","N",5576,"-","None",1977,-12,-2,183,248,-65,16,29,-13,0.355555555555556,NA
"Wednesday, May 25","boxscore","SEA","@","CLE","L-wo",1,2,"12","16-30",7,"Eckersley","Laxton","None","3:00","N",4516,"--","None",1977,-13.5,-1,184,250,-66,16,30,-14,0.347826086956522,NA
"Friday, May 27","boxscore","SEA","@","DET","W",2,1,"None","17-30",7,"Abbott","Fidrych","Kekich","1:41","N",44207,"+","None",1977,-12.5,1,186,251,-65,17,30,-13,0.361702127659574,NA
"Saturday, May 28","boxscore","SEA","@","DET","W",3,1,"None","18-30",7,"Pole","Rozema","Laxton","1:59","D",15820,"++","None",1977,-11.5,2,189,252,-63,18,30,-12,0.375,NA
"Sunday, May 29","boxscore","SEA","@","DET","W",6,4,"None","19-30",7,"Thomas","Foucault","None","2:42","D",11778,"+++","None",1977,-11.5,2,195,256,-61,19,30,-11,0.387755102040816,NA
"Monday, May 30","boxscore","SEA","@","TEX","W",7,4,"None","20-30",7,"Romo","Blyleven","Laxton","2:49","N",NA,"++++","None",1977,-10,3,202,260,-58,20,30,-10,0.4,NA
"Monday, May 30","boxscore","SEA","@","TEX","W",9,3,"None","21-30",7,"Montague","Perry","Segui","2:48","N",17844,"+++++","None",1977,-10,6,211,263,-52,21,30,-9,0.411764705882353,NA
"Wednesday, Jun 1","boxscore","SEA","None","OAK","L",3,6,"None","21-31",7,"Medich","Abbott","Coleman","2:36","N",14350,"-","None",1977,-11.5,-3,214,269,-55,21,31,-10,0.403846153846154,NA
"Thursday, Jun 2","boxscore","SEA","None","OAK","L",0,1,"None","21-32",7,"Norris","Pole","None","2:20","N",10712,"--","None",1977,-11.5,-1,214,270,-56,21,32,-11,0.39622641509434,NA
"Friday, Jun 3","boxscore","SEA","None","CLE","L",1,7,"None","21-33",7,"Eckersley","Jones","Kern","2:41","N",19438,"---","None",1977,-12.5,-6,215,277,-62,21,33,-12,0.388888888888889,NA
"Saturday, Jun 4","boxscore","SEA","None","CLE","L",5,7,"None","21-34",7,"Waits","Kekich","Monge","2:38","N",24074,"----","None",1977,-12.5,-2,220,284,-64,21,34,-13,0.381818181818182,NA
"Sunday, Jun 5","boxscore","SEA","None","CLE","W",6,1,"None","22-34",7,"Montague","Bibby","None","2:19","D",14167,"+","None",1977,-11.5,5,226,285,-59,22,34,-12,0.392857142857143,NA
"Tuesday, Jun 7","boxscore","SEA","None","DET","L",2,5,"None","22-35",7,"Rozema","Abbott","Foucault","2:23","N",10050,"-","None",1977,-12,-3,228,290,-62,22,35,-13,0.385964912280702,NA
"Wednesday, Jun 8","boxscore","SEA","None","DET","W",3,2,"None","23-35",7,"Kekich","Hiller","None","1:59","N",11211,"+","None",1977,-12,1,231,292,-61,23,35,-12,0.396551724137931,NA
"Thursday, Jun 9","boxscore","SEA","None","DET","W",2,1,"None","24-35",7,"Romo","Sykes","None","2:18","N",10840,"++","None",1977,-11,1,233,293,-60,24,35,-11,0.406779661016949,NA
"Friday, Jun 10","boxscore","SEA","None","TOR","L",3,4,"None","24-36",7,"Lemanczyk","Montague","Willis","2:10","N",11786,"-","None",1977,-11,-1,236,297,-61,24,36,-12,0.4,NA
"Saturday, Jun 11","boxscore","SEA","None","TOR","L",4,5,"None","24-37",7,"Johnson","Romo","None","2:31","N",21318,"--","None",1977,-11,-1,240,302,-62,24,37,-13,0.39344262295082,NA
"Sunday, Jun 12","boxscore","SEA","None","TOR","W",5,2,"None","25-37",7,"Pole","Vuckovich","None","2:18","D",28412,"+","None",1977,-11,3,245,304,-59,25,37,-12,0.403225806451613,NA
"Tuesday, Jun 14","boxscore","SEA","None","OAK","L",3,6,"None","25-38",7,"Torrealba","House","Lacey","3:08","N",13764,"-","None",1977,-11,-3,248,310,-62,25,38,-13,0.396825396825397,NA
"Wednesday, Jun 15","boxscore","SEA","None","OAK","W-wo",6,5,"11","26-38",7,"Kekich","Torrealba","None","3:29","N",14248,"+","None",1977,-11,1,254,315,-61,26,38,-12,0.40625,NA
"Thursday, Jun 16","boxscore","SEA","None","OAK","W",3,1,"None","27-38",7,"Abbott","Langford","None","2:12","D",11097,"++","None",1977,-11,2,257,316,-59,27,38,-11,0.415384615384615,NA
"Friday, Jun 17","boxscore","SEA","@","TEX","W",2,1,"None","28-38",7,"Pole","Marshall","House","2:52","N",NA,"+++","None",1977,-10.5,1,259,317,-58,28,38,-10,0.424242424242424,NA
"Friday, Jun 17","boxscore","SEA","@","TEX","L",6,8,"None","28-39",7,"Briles","Wheelock","Devine","2:59","N",21577,"-","None",1977,-10.5,-2,265,325,-60,28,39,-11,0.417910447761194,NA
"Saturday, Jun 18","boxscore","SEA","@","TEX","W",6,1,"10","29-39",7,"Jones","Blyleven","None","2:54","N",17352,"+","None",1977,-9.5,5,271,326,-55,29,39,-10,0.426470588235294,NA
"Sunday, Jun 19","boxscore","SEA","@","TEX","W",2,1,"None","30-39",7,"Romo","Perry","None","2:54","N",12465,"++","None",1977,-8.5,1,273,327,-54,30,39,-9,0.434782608695652,NA
"Monday, Jun 20","boxscore","SEA","@","KCR","W",4,2,"None","31-39",7,"Wheelock","Leonard","Romo","2:40","N",21475,"+++","None",1977,-7.5,2,277,329,-52,31,39,-8,0.442857142857143,NA
"Tuesday, Jun 21","boxscore","SEA","@","KCR","L",3,13,"None","31-40",7,"Colborn","Abbott","None","2:22","N",10958,"-","None",1977,-8.5,-10,280,342,-62,31,40,-9,0.436619718309859,NA
"Wednesday, Jun 22","boxscore","SEA","@","KCR","L",3,4,"None","31-41",7,"Bird","Pole","Littell","2:15","N",22140,"--","None",1977,-9.5,-1,283,346,-63,31,41,-10,0.430555555555556,NA
"Thursday, Jun 23","boxscore","SEA","@","KCR","W",8,6,"10","32-41",7,"Romo","Littell","None","3:49","N",13520,"+","None",1977,-8.5,2,291,352,-61,32,41,-9,0.438356164383562,NA
"Friday, Jun 24","boxscore","SEA","@","MIL","L",1,7,"None","32-42",7,"Sorensen","Montague","None","2:10","N",11625,"-","None",1977,-9.5,-6,292,359,-67,32,42,-10,0.432432432432432,NA
"Saturday, Jun 25","boxscore","SEA","@","MIL","W",8,3,"None","33-42",6,"Wheelock","Haas","Romo","2:34","N",19572,"+","None",1977,-8.5,5,300,362,-62,33,42,-9,0.44,NA
"Sunday, Jun 26","boxscore","SEA","@","MIL","L-wo",6,8,"None","33-43",7,"Caldwell","Romo","None","3:10","D",19699,"-","None",1977,-9.5,-2,306,370,-64,33,43,-10,0.434210526315789,NA
"Monday, Jun 27","boxscore","SEA","@","CHW","L",4,10,"None","33-44",7,"Kravec","Pole","Johnson","2:33","N",16026,"--","None",1977,-10.5,-6,310,380,-70,33,44,-11,0.428571428571429,NA
"Tuesday, Jun 28","boxscore","SEA","@","CHW","L",4,10,"None","33-45",7,"Barrios","Montague","None","2:28","N",8365,"---","None",1977,-11.5,-6,314,390,-76,33,45,-12,0.423076923076923,NA
"Wednesday, Jun 29","boxscore","SEA","@","CHW","W",3,1,"None","34-45",7,"House","Wood","Romo","2:09","N",15415,"+","None",1977,-10.5,2,317,391,-74,34,45,-11,0.430379746835443,NA
"Friday, Jul 1","boxscore","SEA","None","MIL","L",1,2,"None","34-46",7,"Haas","Wheelock","None","2:11","N",16119,"-","None",1977,-10.5,-1,318,393,-75,34,46,-12,0.425,NA
"Saturday, Jul 2","boxscore","SEA","None","MIL","W",2,1,"None","35-46",7,"Abbott","Slaton","Kekich","2:06","N",24466,"+","None",1977,-10.5,1,320,394,-74,35,46,-11,0.432098765432099,NA
"Sunday, Jul 3","boxscore","SEA","None","MIL","L",3,10,"None","35-47",7,"Augustine","Pole","None","2:28","D",16226,"-","None",1977,-12,-7,323,404,-81,35,47,-12,0.426829268292683,NA
"Monday, Jul 4","boxscore","SEA","None","CHW","L",2,6,"None","35-48",7,"Barrios","Montague","None","2:16","N",10897,"--","None",1977,-13,-4,325,410,-85,35,48,-13,0.421686746987952,NA
"Tuesday, Jul 5","boxscore","SEA","None","CHW","L",1,4,"None","35-49",7,"Stone","House","LaGrow","2:21","N",14032,"---","None",1977,-14,-3,326,414,-88,35,49,-14,0.416666666666667,NA
"Wednesday, Jul 6","boxscore","SEA","None","CHW","L",2,4,"None","35-50",7,"Wood","Wheelock","None","2:08","N",21526,"----","None",1977,-15,-2,328,418,-90,35,50,-15,0.411764705882353,NA
"Friday, Jul 8","boxscore","SEA","@","MIN","W",13,11,"None","36-50",7,"Laxton","Thormodsgard","Romo","2:50","N",11966,"+","None",1977,-15,2,341,429,-88,36,50,-14,0.418604651162791,NA
