"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Saturday, Aug 5","None","STL","@","CIN","L",1,13,"None","26-28",4,"None","None","None","None","None",NA,"---","None",1882,-10.5,-12,285,341,-56,25,29,-4,0.462962962962963,NA
"Sunday, Aug 6","None","STL","None","CIN","W",6,3,"None","27-28",4,"None","None","None","None","None",NA,"+","1882-08-07 (Unknown reason)",1882,-9.5,3,291,344,-53,26,29,-3,0.472727272727273,NA
"Tuesday, Aug 8","None","STL","None","CIN","L",2,5,"None","27-29",4,"None","None","None","None","None",NA,"-","None",1882,-10.5,-3,293,349,-56,26,30,-4,0.464285714285714,NA
"Thursday, Aug 10","None","STL","None","CIN","W",4,3,"None","28-29",4,"None","None","None","None","None",NA,"+","None",1882,-9.5,1,297,352,-55,27,30,-3,0.473684210526316,NA
"Saturday, Aug 12","None","STL","None","CIN","L",1,19,"None","28-30",4,"None","None","None","None","None",NA,"-","None",1882,-10.5,-18,298,371,-73,27,31,-4,0.46551724137931,NA
"Tuesday, Aug 15","None","STL","None","PHA","L",1,3,"None","28-31",4,"None","None","None","None","None",NA,"--","None",1882,-11.5,-2,299,374,-75,27,32,-5,0.457627118644068,NA
"Thursday, Aug 17","None","STL","None","PHA","L",5,6,"None","28-32",4,"None","None","None","None","None",NA,"---","None",1882,-12,-1,304,380,-76,27,33,-6,0.45,NA
"Saturday, Aug 19","None","STL","None","PHA","L",6,14,"None","28-33",4,"None","None","None","None","None",NA,"----","None",1882,-13,-8,310,394,-84,27,34,-7,0.442622950819672,NA
"Sunday, Aug 20","None","STL","None","PHA","L",5,10,"None","28-34",5,"None","None","None","None","None",NA,"-----","1882-08-14 (Unknown reason)",1882,-13.5,-5,315,404,-89,27,35,-8,0.435483870967742,NA
"Tuesday, Aug 22","None","STL","None","PIT","W",7,6,"None","29-34",4,"None","None","None","None","None",NA,"+","None",1882,-13.5,1,322,410,-88,28,35,-7,0.444444444444444,NA
"Wednesday, Aug 23","None","STL","None","PIT","L",3,10,"None","29-35",5,"None","None","None","None","None",NA,"-","1882-08-21 (Unknown reason)",1882,-14.5,-7,325,420,-95,28,36,-8,0.4375,NA
