Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
76,Sunday Jun 23,boxscore,STL,,TEX,L,1,2,,47-29,1,up 1.0,Ross,Wainwright,Nathan,3:02,N,44063,---,
77,Tuesday Jun 25,boxscore,STL,@,HOU,W,13,5,,48-29,1,up 1.0,Westbrook,Harrell,,3:11,N,19271,+,
78,Wednesday Jun 26,boxscore,STL,@,HOU,L,3,4,,48-30,1,Tied,Bedard,Lynn,Veras,2:47,N,17428,-,
79,Friday Jun 28,boxscore,STL,@,OAK,L,1,6,,48-31,2,1.0,Colon,Miller,,2:42,N,24208,--,
80,Saturday Jun 29,boxscore,STL,@,OAK,W,7,1,,49-31,2,1.0,Wainwright,Chavez,,2:48,D,35067,+,
81,Sunday Jun 30,boxscore,STL,@,OAK,L,5,7,,49-32,2,2.0,Milone,Westbrook,Balfour,2:35,D,20673,-,
82,Tuesday Jul 2,boxscore,STL,@,LAA,L,1,5,,49-33,2,2.0,Weaver,Lynn,,2:40,N,39455,--,
83,Wednesday Jul 3,boxscore,STL,@,LAA,W,12,2,,50-33,2,2.0,Miller,Williams,,3:22,N,35025,+,
84,Thursday Jul 4,boxscore,STL,@,LAA,L-wo,5,6,,50-34,2,2.0,Downs,Mujica,,2:51,N,42707,-,
85,Friday Jul 5,boxscore,STL,,MIA,W,4,1,,51-34,2,2.0,Westbrook,Turner,Mujica,2:17,N,46177,+,
86,Saturday Jul 6,boxscore,STL,,MIA,W-wo,5,4,,52-34,2,1.0,Mujica,Ramos,,2:44,D,45475,++,
87,Sunday Jul 7,boxscore,STL,,MIA,W,3,2,,53-34,1,Tied,Lynn,Fernandez,Mujica,2:39,D,43741,+++,
88,Tuesday Jul 9,boxscore,STL,,HOU,W,9,5,,54-34,1,up 1.5,Wainwright,Norris,Mujica,3:20,N,43836,++++,
89,Wednesday Jul 10,boxscore,STL,,HOU,W,5,4,,55-34,1,up 1.5,Maness,Wright,Mujica,3:23,N,44313,+++++,
90,Thursday Jul 11,boxscore,STL,@,CHC,L,0,3,,55-35,1,up 1.0,Jackson,Westbrook,Gregg,2:44,N,35379,-,
91,Friday Jul 12,boxscore,STL,@,CHC,W,3,2,,56-35,1,up 1.0,Kelly,Villanueva,Mujica,2:58,D,37322,+,
92,Saturday Jul 13,boxscore,STL,@,CHC,L,4,6,,56-36,1,Tied,Garza,Lynn,Gregg,3:25,N,42240,-,
93,Sunday Jul 14,boxscore,STL,@,CHC,W,10,6,,57-36,1,up 1.0,Mujica,Gregg,,3:47,N,35178,+,
94,Friday Jul 19,boxscore,STL,,SDP,W,9,6,,58-36,1,up 2.0,Westbrook,Marquis,Mujica,2:53,N,43929,++,
95,Saturday Jul 20,boxscore,STL,,SDP,L,3,5,,58-37,1,up 2.0,Volquez,Lynn,Street,3:43,N,45288,-,
96,Sunday Jul 21,boxscore,STL,,SDP,W,3,2,,59-37,1,up 2.0,Wainwright,Stults,Mujica,2:53,D,44033,+,
97,Tuesday Jul 23,boxscore,STL,,PHI,W,4,1,,60-37,1,up 1.5,Miller,Pettibone,Mujica,2:51,N,44780,++,
98,Wednesday Jul 24,boxscore,STL,,PHI,W,11,3,,61-37,1,up 1.5,Westbrook,Lannan,,3:06,N,44317,+++,
99,Thursday Jul 25,boxscore,STL,,PHI,W,3,1,,62-37,1,up 2.5,Lynn,Kendrick,Mujica,2:38,N,45567,++++,
100,Friday Jul 26,boxscore,STL,@,ATL,L,1,4,,62-38,1,up 2.5,Minor,Wainwright,Kimbrel,2:33,N,50124,-,
101,Saturday Jul 27,boxscore,STL,@,ATL,L,0,2,,62-39,1,up 1.5,Avilan,Choate,Kimbrel,2:31,D,48312,--,
102,Sunday Jul 28,boxscore,STL,@,ATL,L,2,5,,62-40,1,up 1.5,Medlen,Miller,Kimbrel,2:58,N,34478,---,
103,Monday Jul 29,boxscore,STL,@,PIT,L,2,9,,62-41,1,up 0.5,Liriano,Westbrook,,2:51,N,32084,----,
104,Tuesday Jul 30 (1),boxscore,STL,@,PIT,L-wo,1,2,11,62-42,2,1.5,Mazzaro,Siegrist,,3:50,D,,-----,
105,Tuesday Jul 30 (2),boxscore,STL,@,PIT,L,0,6,,62-43,2,1.5,Cumpton,Lyons,,2:32,N,33861,------,2013-04-16 (Rain)
106,Wednesday Jul 31,boxscore,STL,@,PIT,L,4,5,,62-44,2,2.5,Watson,Rosenthal,Melancon,3:14,N,31679,-------,
107,Thursday Aug 1,boxscore,STL,@,PIT,W,13,0,,63-44,2,1.5,Kelly,Morton,,3:22,N,31999,+,
108,Friday Aug 2,boxscore,STL,@,CIN,W,13,3,,64-44,2,0.5,Miller,Arroyo,,3:23,N,39095,++,
109,Saturday Aug 3,boxscore,STL,@,CIN,L,3,8,,64-45,2,1.5,Cingrani,Westbrook,,3:03,N,41598,-,
110,Sunday Aug 4,boxscore,STL,@,CIN,W,15,2,,65-45,2,1.5,Lynn,Leake,,3:00,D,39618,+,
111,Monday Aug 5,boxscore,STL,,LAD,L,2,3,,65-46,2,2.0,Greinke,Wainwright,Rodriguez,3:06,N,42464,-,
