"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","win_loss_differential","record_so_far","attendance_so_far"
"Friday, May 30","boxscore","KCR","None","NYY","L",2,6,"None","21-24",5,"Peterson","Jones","None","2:05","D",NA,"---","None",1969,-4.5,-4,150,173,-23,20,24,-4,0.454545454545455,NA
"Friday, May 30","boxscore","KCR","None","NYY","L",4,5,"15","21-25",5,"McDaniel","Rooker","Kekich","4:24","D",22335,"----","None",1969,-4.5,-1,154,178,-24,20,25,-5,0.444444444444444,NA
"Saturday, May 31","boxscore","KCR","None","NYY","T",2,2,"8","21-25",4,"None","None","None","1:54","N",14263,"----","None",1969,-5,0,156,180,-24,21,26,-5,0.446808510638298,NA
"Sunday, Jun 1","boxscore","KCR","None","NYY","L",5,8,"None","21-26",5,"Downing","Wickersham","Aker","2:29","D",12501,"-----","None",1969,-5,-3,161,188,-27,21,27,-6,0.4375,NA
"Monday, Jun 2","boxscore","KCR","None","WSA","L",6,7,"None","21-27",5,"Cox","Nelson","Higgins","2:41","N",8697,"------","None",1969,-6,-1,167,195,-28,21,28,-7,0.428571428571429,NA
"Tuesday, Jun 3","boxscore","KCR","None","WSA","W",5,3,"None","22-27",5,"Bunker","Hannan","None","2:14","N",9274,"+","None",1969,-6,2,172,198,-26,22,28,-6,0.44,NA
"Wednesday, Jun 4","boxscore","KCR","None","WSA","L",1,3,"None","22-28",5,"Coleman","Drago","None","2:25","N",11905,"-","None",1969,-7,-2,173,201,-28,22,29,-7,0.431372549019608,NA
"Friday, Jun 6","boxscore","KCR","@","BOS","L-wo",2,4,"11","22-29",5,"Lyle","Drabowsky","None","2:26","N",29438,"--","None",1969,-7,-2,175,205,-30,22,30,-8,0.423076923076923,NA
"Saturday, Jun 7","boxscore","KCR","@","BOS","L",0,4,"None","22-30",5,"Nagy","Bunker","None","2:24","D",24717,"---","None",1969,-8,-4,175,209,-34,22,31,-9,0.415094339622642,NA
"Sunday, Jun 8","boxscore","KCR","@","BOS","L",2,8,"None","22-31",5,"Lonborg","Drago","None","2:07","D",32897,"----","None",1969,-8,-6,177,217,-40,22,32,-10,0.407407407407407,NA
"Monday, Jun 9","boxscore","KCR","@","NYY","W",7,1,"None","23-31",5,"Nelson","Kekich","None","2:04","N",8355,"+","None",1969,-7,6,184,218,-34,23,32,-9,0.418181818181818,NA
"Tuesday, Jun 10","boxscore","KCR","@","NYY","W",7,6,"None","24-31",5,"Butler","Bahnsen","Wickersham","2:56","N",7588,"++","None",1969,-7,1,191,224,-33,24,32,-8,0.428571428571429,NA
"Wednesday, Jun 11","boxscore","KCR","@","NYY","L-wo",4,5,"11","24-32",5,"Aker","Morehead","None","3:04","N",8669,"-","None",1969,-7,-1,195,229,-34,24,33,-9,0.421052631578947,NA
"Friday, Jun 13","boxscore","KCR","None","DET","L",0,6,"None","24-33",5,"Sparma","Drago","None","2:20","N",12779,"--","None",1969,-7,-6,195,235,-40,24,34,-10,0.413793103448276,NA
"Sunday, Jun 15","boxscore","KCR","None","DET","L",0,7,"None","24-34",5,"Wilson","Nelson","None","2:11","D",16956,"---","None",1969,-7.5,-7,195,242,-47,24,35,-11,0.406779661016949,NA
"Monday, Jun 16","boxscore","KCR","None","OAK","L",5,7,"13","24-35",5,"Lachemann","Wickersham","Krausse","3:37","N",NA,"----","None",1969,-8,-2,200,249,-49,24,36,-12,0.4,NA
"Monday, Jun 16","boxscore","KCR","None","OAK","W-wo",3,2,"12","25-35",5,"Morehead","Roland","None","2:50","N",15603,"+","1969-04-18 (Rain)",1969,-8,1,203,251,-48,25,36,-11,0.409836065573771,NA
"Wednesday, Jun 18","boxscore","KCR","None","OAK","L",4,16,"None","25-36",5,"Dobson","Drago","None","3:00","N",NA,"-","None",1969,-9.5,-12,207,267,-60,25,37,-12,0.403225806451613,NA
"Wednesday, Jun 18","boxscore","KCR","None","OAK","L",2,9,"None","25-37",5,"Odom","Rooker","None","2:37","N",18248,"--","1969-06-17 (Rain)",1969,-9.5,-7,209,276,-67,25,38,-13,0.396825396825397,NA
"Friday, Jun 20","boxscore","KCR","@","SEP","L",3,5,"None","25-38",5,"Talbot","Butler","Locker","2:23","N",NA,"---","None",1969,-10,-2,212,281,-69,25,39,-14,0.390625,NA
"Friday, Jun 20","boxscore","KCR","@","SEP","W",6,2,"None","26-38",5,"Bunker","Gelnar","None","2:14","N",18413,"+","None",1969,-10,4,218,283,-65,26,39,-13,0.4,NA
"Saturday, Jun 21","boxscore","KCR","@","SEP","L",0,1,"None","26-39",5,"Brabender","Nelson","None","1:50","N",6829,"-","None",1969,-10,-1,218,284,-66,26,40,-14,0.393939393939394,NA
"Sunday, Jun 22","boxscore","KCR","@","SEP","L",1,5,"None","26-40",5,"Pattin","Drago","Locker","2:29","D",7008,"--","None",1969,-10.5,-4,219,289,-70,26,41,-15,0.388059701492537,NA
"Tuesday, Jun 24","boxscore","KCR","@","OAK","W",6,5,"None","27-40",5,"Butler","Nash","Drabowsky","3:16","N",5715,"+","None",1969,-10,1,225,294,-69,27,41,-14,0.397058823529412,NA
