Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
88,Monday Jul 7,boxscore,KCR,@,TBR,W,6,0,,46-42,2,3.5,Shields,Odorizzi,,2:51,N,13406,+,
89,Tuesday Jul 8,boxscore,KCR,@,TBR,L,3,4,,46-43,2,4.5,Boxberger,Vargas,McGee,3:31,N,12818,-,
90,Wednesday Jul 9,boxscore,KCR,@,TBR,W,5,4,,47-43,2,4.5,Crow,Yates,Holland,3:35,N,12150,+,
91,Thursday Jul 10,boxscore,KCR,,DET,L,4,16,,47-44,2,5.5,Smyly,Guthrie,,3:17,N,21775,-,
92,Friday Jul 11,boxscore,KCR,,DET,L,1,2,,47-45,2,6.5,Sanchez,Duffy,Nathan,2:58,N,31581,--,
93,Saturday Jul 12,boxscore,KCR,,DET,L,1,5,,47-46,2,7.5,Porcello,Shields,,3:08,N,33849,---,
94,Sunday Jul 13,boxscore,KCR,,DET,W,5,2,,48-46,2,6.5,Ventura,Verlander,Holland,3:02,D,23424,+,
95,Friday Jul 18,boxscore,KCR,@,BOS,L,4,5,,48-47,2,6.5,Buchholz,Downs,Uehara,3:31,N,37743,-,
96,Saturday Jul 19,boxscore,KCR,@,BOS,L,1,2,,48-48,3,6.0,De La Rosa,Duffy,Uehara,2:39,N,37878,--,
97,Sunday Jul 20,boxscore,KCR,@,BOS,L,0,6,,48-49,3,7.0,Lester,Ventura,,2:56,D,37439,---,
98,Monday Jul 21,boxscore,KCR,@,CHW,L,1,3,,48-50,3,8.0,Sale,Guthrie,Petricka,2:46,N,18888,----,
99,Tuesday Jul 22,boxscore,KCR,@,CHW,W,7,1,,49-50,3,7.0,Chen,Carroll,,3:35,N,20428,+,
100,Wednesday Jul 23,boxscore,KCR,@,CHW,W,2,1,,50-50,3,7.0,Davis,Putnam,Holland,3:03,D,23811,++,
101,Thursday Jul 24,boxscore,KCR,,CLE,W-wo,2,1,14,51-50,2,7.0,Crow,Rzepczynski,,4:23,N,22120,+++,
102,Friday Jul 25,boxscore,KCR,,CLE,W,6,4,,52-50,2,6.0,Herrera,Carrasco,Crow,3:02,N,33460,++++,
103,Saturday Jul 26,boxscore,KCR,,CLE,W,7,5,,53-50,2,5.0,Guthrie,McAllister,Holland,3:06,N,29567,+++++,
104,Sunday Jul 27,boxscore,KCR,,CLE,L,3,10,,53-51,2,5.0,Salazar,Chen,,3:03,D,23409,-,
105,Tuesday Jul 29,boxscore,KCR,,MIN,L,1,2,,53-52,2,5.0,Gibson,Shields,Perkins,3:14,N,30686,--,
106,Wednesday Jul 30,boxscore,KCR,,MIN,W,3,2,,54-52,2,5.0,Frasor,Hughes,Holland,3:10,N,20747,+,
107,Thursday Jul 31,boxscore,KCR,,MIN,W,6,3,,55-52,2,4.0,Ventura,Thielbar,Holland,2:50,N,24127,++,
108,Friday Aug 1,boxscore,KCR,@,OAK,W,1,0,,56-52,2,4.0,Guthrie,Gray,Holland,2:54,N,35067,+++,
109,Saturday Aug 2,boxscore,KCR,@,OAK,L,3,8,,56-53,2,5.0,Lester,Vargas,,2:45,D,30097,-,
110,Sunday Aug 3,boxscore,KCR,@,OAK,W,4,2,,57-53,2,5.0,Shields,Kazmir,Holland,2:32,D,22612,+,
111,Tuesday Aug 5,boxscore,KCR,@,ARI,W,12,2,,58-53,2,4.5,Duffy,Miley,,3:02,N,16677,++,
112,Wednesday Aug 6,boxscore,KCR,@,ARI,W,4,3,,59-53,2,3.5,Ventura,Collmenter,Holland,3:02,N,16157,+++,
113,Thursday Aug 7,boxscore,KCR,@,ARI,W,6,2,,60-53,2,2.5,Guthrie,Nuno,,2:34,N,17809,++++,
114,Friday Aug 8,boxscore,KCR,,SFG,W,4,2,,61-53,2,2.5,Frasor,Bumgarner,Holland,2:59,N,28307,+++++,
115,Saturday Aug 9,boxscore,KCR,,SFG,W,5,0,,62-53,2,1.5,Shields,Hudson,,2:30,N,35114,++++++,
116,Sunday Aug 10,boxscore,KCR,,SFG,W,7,4,,63-53,2,0.5,Duffy,Lincecum,Holland,3:21,D,27359,+++++++,
117,Monday Aug 11,boxscore,KCR,,OAK,W,3,2,,64-53,1,up 0.5,Herrera,Gray,Holland,2:35,N,21479,++++++++,
118,Tuesday Aug 12,boxscore,KCR,,OAK,L,3,11,,64-54,1,up 0.5,Lester,Guthrie,,2:49,N,27161,-,
119,Wednesday Aug 13,boxscore,KCR,,OAK,W,3,0,,65-54,1,up 0.5,Vargas,Kazmir,,2:06,N,21099,+,
120,Thursday Aug 14,boxscore,KCR,,OAK,W,7,3,,66-54,1,up 0.5,Crow,Samardzija,Holland,3:13,D,20569,++,
121,Friday Aug 15,boxscore,KCR,@,MIN,W,6,5,,67-54,1,up 1.5,Duffy,Nolasco,Holland,3:05,N,32013,+++,
122,Saturday Aug 16,boxscore,KCR,@,MIN,L,1,4,,67-55,1,up 0.5,Hughes,Ventura,Perkins,2:37,N,35575,-,
123,Sunday Aug 17,boxscore,KCR,@,MIN,W,12,6,,68-55,1,up 1.5,Guthrie,Milone,,2:51,D,31455,+,
124,Monday Aug 18,boxscore,KCR,@,MIN,W,6,4,,69-55,1,up 2.0,Vargas,May,Holland,3:09,N,25559,++,
125,Tuesday Aug 19,boxscore,KCR,@,COL,W,7,4,,70-55,1,up 2.0,Shields,Matzek,Holland,3:12,N,30394,+++,
