"date","boxscore","team","home_or_away","opponent","win_or_loss","runs","runs_allowed","innings","win_loss_record","rank","win","loss","save","time","day_or_night","attendance","streak","originally_scheduled","year","games_ahead","run_diff","r_so_far","ra_so_far","rd_so_far","wins_so_far","losses_so_far","record_so_far","attendance_so_far"
"Thursday, Jul 4","None","BOS","None","BLA","W",10,2,"None","34-20",2,"None","None","None","None","None",NA,"+++","None",1901,-1,8,344,248,96,34,19,0.641509433962264,NA
"Thursday, Jul 4","None","BOS","None","BLA","W",8,3,"None","35-20",2,"None","None","None","None","None",NA,"++++","None",1901,-1,5,352,251,101,35,19,0.648148148148148,NA
"Friday, Jul 5","None","BOS","None","WSH","W",2,1,"None","36-20",2,"None","None","None","None","None",NA,"+++++","None",1901,-1,1,354,252,102,36,19,0.654545454545455,NA
"Saturday, Jul 6","None","BOS","None","WSH","W",7,0,"None","37-20",1,"None","None","None","None","None",NA,"++++++","None",1901,0,7,361,252,109,37,19,0.660714285714286,NA
"Monday, Jul 8","None","BOS","None","WSH","W",3,1,"None","38-20",1,"None","None","None","None","None",NA,"+++++++","None",1901,1,2,364,253,111,38,19,0.666666666666667,NA
"Wednesday, Jul 10","None","BOS","None","PHA","L",6,13,"None","38-21",2,"None","None","None","None","None",NA,"-","None",1901,-0.5,-7,370,266,104,38,20,0.655172413793103,NA
"Thursday, Jul 11","None","BOS","None","PHA","W",4,1,"None","39-21",2,"None","None","None","None","None",NA,"+","None",1901,-0.5,3,374,267,107,39,20,0.661016949152542,NA
"Friday, Jul 12","None","BOS","None","PHA","W",5,3,"None","40-21",2,"None","None","None","None","None",NA,"++","None",1901,-0.5,2,379,270,109,40,20,0.666666666666667,NA
"Saturday, Jul 13","None","BOS","@","PHA","L",1,6,"None","40-22",2,"None","None","None","None","None",NA,"-","None",1901,-0.5,-5,380,276,104,40,21,0.655737704918033,NA
"Monday, Jul 15","None","BOS","@","PHA","L",1,6,"None","40-23",2,"None","None","None","None","None",NA,"--","None",1901,-1.5,-5,381,282,99,40,22,0.645161290322581,NA
"Tuesday, Jul 16","None","BOS","@","CLE","W",10,8,"None","41-23",2,"None","None","None","None","None",NA,"+","None",1901,-1,2,391,290,101,41,22,0.650793650793651,NA
"Wednesday, Jul 17","None","BOS","@","CLE","W",9,3,"None","42-23",2,"None","None","None","None","None",NA,"++","None",1901,-0.5,6,400,293,107,42,22,0.65625,NA
"Wednesday, Jul 17","None","BOS","@","CLE","W",10,2,"None","43-23",2,"None","None","None","None","None",NA,"+++","1901-05-28 (Rain)",1901,-0.5,8,410,295,115,43,22,0.661538461538462,NA
